open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
108768.9,109260.91,108091.74,108669.37,108157.60434538529,107213.32745848736,54.61070481650661,1077.8655476405092,BTC,2025-06-11 20:00:00
108673.77,108853.74,107744.93,107881.37,108136.35554958643,107239.52520521334,48.95631377297412,1081.9914746217764,BTC,2025-06-12 00:00:00
107891.64,108016.44,107336.52,107637.67,108097.99512269517,107255.13872657753,47.32436381391583,1028.3819446722061,BTC,2025-06-12 04:00:00
107637.67,107882.59,106900.02,106932.65,108008.35319018016,107242.492109849,42.87189022939347,1022.2736853825777,BTC,2025-06-12 08:00:00
106932.66,107858.05,106586.88,107029.39,107933.04832939708,107234.13516436472,43.655246598561185,1055.4598606649006,BTC,2025-06-12 12:00:00
107029.4,108478.62,106710.0,106828.55,107848.08691944346,107218.2298638014,42.35669154239853,1150.5478792429133,BTC,2025-06-12 16:00:00
106827.02,107005.35,105706.78,105721.05,107684.4686948709,107159.51692796606,35.997841445096896,1170.2841620105257,BTC,2025-06-12 20:00:00
105716.45,105741.54,102746.01,104372.23,107429.68110295775,107050.2115582419,30.07583135294145,1413.6502737424555,BTC,2025-06-13 00:00:00
104363.01,105000.0,103846.74,104946.46,107238.66409503794,106967.71149713438,34.97990357128853,1378.9315705767942,BTC,2025-06-13 04:00:00
104946.47,105500.0,104471.03,105099.63,107074.12301080427,106894.45339920754,36.26396878298283,1332.2700278332218,BTC,2025-06-13 08:00:00
105099.63,105825.22,104150.0,105503.6,106953.31354843471,106839.91012865039,39.64915756450269,1377.9966907887924,BTC,2025-06-13 12:00:00
105503.6,106041.61,104699.57,105153.75,106814.88558317052,106773.78620203664,37.77781966811098,1373.2024653502858,BTC,2025-06-13 16:00:00
105164.62,106233.0,105055.36,106118.7,106761.33284600356,106748.09654705481,45.42837174913538,1347.1274699702476,BTC,2025-06-13 20:00:00
106114.53,106264.36,105251.34,105296.44,106648.64878092638,106691.16883932718,40.82226798832058,1302.5798073075484,BTC,2025-06-14 00:00:00
105296.44,105475.47,104836.25,105126.03,106531.52425931668,106629.79084562809,39.91891828506944,1214.1318329998755,BTC,2025-06-14 04:00:00
